ticker,Company Name,TTM Earnings
AMAT,APPLIED MATERIALS INC /DE,15161000000
AMD,ADVANCED MICRO DEVICES INC,5875000000
ASML,ASML HOLDING NV,10944000000
INTC,INTEL CORP,70386000000
KLAC,KLA CORP,4568904000
LRCX,LAM RESEARCH CORP,9653559000
MCHP,MICROCHIP TECHNOLOGY INC,5459600000
MRVL,MARVELL TECHNOLOGY GROUP LTD,2914870000
MU,MICRON TECHNOLOGY INC,26976000000
MXIM,MAXIM INTEGRATED PRODUCTS INC,2314329000
NVDA,NVIDIA CORP,10185000000
NXPI,NXP SEMICONDUCTORS N.V.,9407000000
SNPS,SYNOPSYS INC,3304695000
STM,STMICROELECTRONICS NV,9664000000
SWKS,"SKYWORKS SOLUTIONS, INC.",3557800000
TXN,TEXAS INSTRUMENTS INC,15240000000
XLNX,XILINX INC,3224302000
